SE,P4a Fuge Handmessung,SEAB1DS__-3H09,mWS,HAND,,
WU,UWR Sickerwasser Unterwasser rechts PLS,WUAB1AD__-3F04,l/s,AUTO,0,0.07
LI,DU I 21.1 Sickerwasser,LIAB1VOR_-3H169,l/min,HAND,,
LI,DU II 11.1 Sickerwasser,LIAB1VOR_-3H17,l/min,HAND,,
LI,DU I 21.3 Sickerwasser,LIAB1VOR_-3H170,l/min,HAND,,
LI,DU I 21.4 Sickerwasser,LIAB1VOR_-3H171,l/min,HAND,,
LI,DU I 11.1 Sickerwasser,LIAB1VOR_-3H18,l/min,HAND,,
LI,DU I 11.2 Sickerwasser,LIAB1VOR_-3H19,l/min,HAND,,
SE,P5 Fuge,SEAB1DS__-3P11,mWS,AUTO,,
SE,P5a Fuge,SEAB1DS__-3P12,mWS,AUTO,,
SE,P6 Fuge,SEAB1DS__-3P14,mWS,AUTO,,
SE,P7 Fels,SEAB1DS__-3P15,mWS,AUTO,,
SE,P9 Fels,SEAB1DS__-3P16,mWS,AUTO,,
BE,Absperrklappe,BEAB1BA__-2ASK,,LEER,,
BE,Ringkolbenschieber,BEAB1BA__-2RKS,,LEER,,
BE,Absperrklappe,BEAB1BYPA-2ASK,,LEER,,
BE,Ringkolbenschieber,BEAB1BYPA-2RKS,,LEER,,
SE,M3 Fuge,SEAB1DS__-3P17,mWS,AUTO,,
BE,Lufttemperatur minimal,BEAB1____-3H01,°C,HAND,,
BE,MQB1 Piezometer Wasserseite Schüttkörper,BEAB1DS__-3H12,m,HAND,10.25,18.3
ES,F2.1  Fußbohrung,ESAB1____-3H12,m,HAND,0.29,1.34
RO,DU Li Handmessung,ROAB1KO__-3H12,l/s,HAND,0,0.35
ES,Wassertemperatur Oberfläche,ESAB1____-3H19,°C,HAND,,
BE,MQC2 Piezometer Wasserseite Fels,BEAB1DS__-3H20,m,HAND,36.28,36.9
BE,MQF1 Piezometer Wasserseite,BEAB1DS__-3H30,m,HAND,3.94,8.27
